"Transaction Id";"Type";"Started";"Last updated";"Status";"Unit Type";"Quantity";"Transferring Account";"Acquiring Account";"Comment";
"EU670548";"10-00 Internal Transfer";"26/08/2021 15:08:44";"26/08/2021 15:11:26";"4-COMPLETED";"EU General Allowance (EUA)";;"17000";"EU-100-5027708-0-11";"EU-100-5033130-0-61";" ";
"EU669875";"10-00 Internal Transfer";"20/08/2021 10:36:56";"20/08/2021 10:37:13";"4-COMPLETED";"EU General Allowance (EUA)";;"15404";"EU-100-5027708-0-11";"EU-100-5028006-0-73";" ";
"EU669688";"10-00 Internal Transfer";"18/08/2021 12:51:39";"18/08/2021 12:54:24";"4-COMPLETED";"EU General Allowance (EUA)";;"18000";"EU-100-5027708-0-11";"EU-100-5033130-0-61";" ";
"EU669095";"10-00 Internal Transfer";"11/08/2021 12:33:26";"11/08/2021 12:36:07";"4-COMPLETED";"EU General Allowance (EUA)";;"17000";"EU-100-5027708-0-11";"EU-100-5033130-0-61";" ";
"EU668738";"10-00 Internal Transfer";"06/08/2021 15:30:39";"06/08/2021 15:30:59";"4-COMPLETED";"EU General Allowance (EUA)";;"35000";"EU-100-5027708-0-11";"EU-100-5033130-0-61";" ";
"EU668620";"10-00 Internal Transfer";"05/08/2021 14:54:11";"05/08/2021 14:56:52";"4-COMPLETED";"EU General Allowance (EUA)";;"5000";"EU-100-5027708-0-11";"EU-100-5033130-0-61";" ";
"EU668507";"10-00 Internal Transfer";"04/08/2021 12:46:16";"04/08/2021 12:49:00";"4-COMPLETED";"EU General Allowance (EUA)";;"15000";"EU-100-5027708-0-11";"EU-100-5033130-0-61";" ";
"EU667191";"10-00 Internal Transfer";"02/08/2021 15:03:31";"02/08/2021 15:06:13";"4-COMPLETED";"EU General Allowance (EUA)";;"13000";"EU-100-5027708-0-11";"EU-100-5033130-0-61";" ";
